date,05-00-00,02-00-00,02-00-01,02-00-02,02-04-01,02-04-02,02-04-03,02-04-04,02-04-05,04-01-00,04-01-01,04-01-02,04-01-03,04-01-04,04-01-05,04-01-06,04-01-07,04-02-00,04-02-01,04-02-02,04-02-03,04-02-04,04-02-09,04-02-10,06-00-01,06-00-02,06-00-03,01-01-00,01-01-01,01-01-02,01-01-03,01-01-04,01-01-05,01-01-06,01-01-07,01-01-08,01-01-09,01-01-10,01-01-11,01-01-12,01-01-13,01-01-14,01-01-15,01-02-00,01-02-01,01-02-02,01-02-03,01-02-04,01-02-05,01-02-06,01-02-08,01-02-09,01-02-10,01-03-00,01-03-01,01-03-02,01-03-04,01-03-05,01-03-06,01-03-07,01-03-08,01-03-09,01-03-10,01-03-15,01-03-16,01-03-17,01-03-20,01-03-21,01-03-23,01-03-25,01-03-26,01-03-27,01-04-00,01-04-01,01-04-02,01-05-00,01-05-01,01-09-00,01-09-01,01-09-02
1993-09-01,115.7,4348.95,4642.3,-293.35,1081.48,966.09,613.3022319021542,256.47,84.94,23591.5,14.3,4020.5,4.2,11574.6,19.4,7996.4,13.0,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,24.107599261117468,3.1825271128311328,36.45890990291311,34879.8,37.31,13755.0,30.3,5074.82,42.58,10415.7,40.84,17015.4,36.05,1247.9,45.25,15203.5,40.07,564.0,29.07,1.432148719774184,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.7592431543894125,1.6150682003816415,4.402168130862715,3.9281369181977257,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,3.4844320023666175,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,196.2,13.711482911994514,8.842640474781101,8.877477520443906
1993-10-01,115.9,4348.95,4642.3,-293.35,1081.48,966.09,601.6103906600329,256.47,84.94,35333.9,14.0,6963.8,4.7,16454.4,19.9,11915.7,12.2,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,24.20729475447867,3.186654023875379,36.80619382649493,34879.8,37.31,14140.88,28.16,5159.56,38.23,10415.7,40.84,18599.4,36.05,1247.9,45.25,15203.5,40.07,2148.0,29.07,1.429845545946137,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.7820048764404617,1.6128981210077675,4.400839961730933,3.926639427626741,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,3.6094085636740445,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,197.06,13.741364210002398,8.967219651373847,8.998885554825181
1993-11-01,116.7,4348.95,4642.3,-293.35,1081.48,966.09,601.4335894614205,256.47,84.94,35333.9,14.0,6963.8,4.7,16454.4,19.9,11915.7,12.2,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,24.35852540703976,3.1928819076367256,37.460216866805446,34879.8,37.31,14968.84,30.7,5398.6,35.33,10415.7,40.84,18599.4,36.05,1247.9,45.25,15203.5,40.07,2148.0,29.07,1.4295206898677588,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.7505307683854945,1.6125646890689636,4.401041131192948,3.926794251485478,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,3.6084124991794244,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,208.6,13.79208982590787,8.948151581030467,8.98064381741779
1993-12-01,118.8,4348.95,4642.3,-293.35,1081.48,966.09,596.4896917836221,256.47,84.94,35333.9,14.0,6963.8,4.7,16454.4,19.9,11915.7,12.2,16412.1,6858.0,9554.1,5487.8,74.9,2408.5,84.7,25.570241078685672,3.2414292174434634,40.174693948179076,34879.8,37.31,16280.4,38.78,5864.7,35.26,10415.7,40.84,18599.4,36.05,1247.9,45.25,15203.5,40.07,2148.0,29.07,1.4291701262019019,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.6919623808442108,1.6120903294899303,4.402648143571457,3.928239473823979,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,3.4475532182934305,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,211.99,13.992107000436544,8.908996717448558,8.943369915517287
1994-01-01,121.1,5218.1,5792.62,-574.52,2308.34,670.02,487.4,272.68,84.94,9064.7,12.9,922.7,6.0,4710.1,16.5,3431.9,9.8,21844.2,8875.3,12968.9,7398.0,74.7,3028.4,85.1,23.482164258476732,3.1562411652639026,39.41256969116829,46923.5,34.5,15800.5,19.12,6659.03,32.6,11894.9,20.91,20616.2,40.07,1604.7,45.25,18349.9,40.07,661.6,29.07,1.4248045853707396,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.854328576190992,1.6082699987847315,4.40582272239243,3.9315704054108753,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,4.230171976943457,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,251.61,13.784233384777046,8.520265521475745,8.55139573396659
1994-02-01,123.2,5218.1,5792.62,-574.52,2308.34,670.02,487.4,272.68,84.94,9064.7,12.9,922.7,6.0,4710.1,16.5,3431.9,9.8,21844.2,8875.3,12968.9,7398.0,74.7,3028.4,85.1,24.500194003438647,3.19868103602703,41.76383400333995,46923.5,34.5,15434.52,16.66,6305.19,35.91,11894.9,20.91,20616.2,40.07,1604.7,45.25,18349.9,40.07,661.6,29.07,1.4241131587255342,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.9096053887002047,1.6075505593225317,4.410479913272478,3.9363026819730003,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,4.424715020768224,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,278.49,13.884126178634178,8.49668659747664,8.534787809776953
1994-03-01,122.4,5218.1,5792.62,-574.52,2308.34,670.02,487.4,272.68,84.94,9064.7,12.9,922.7,6.0,4710.1,16.5,3431.9,9.8,21844.2,8875.3,12968.9,7398.0,74.7,3028.4,85.1,23.314961569031638,3.149095281922303,39.85302919689345,46923.5,34.5,15508.77,15.36,5834.6,28.01,11894.9,20.91,20616.2,40.07,1604.7,45.25,18349.9,40.07,661.6,29.07,1.4240354216894164,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.8786370147165623,1.6075789574238986,4.407996345681305,3.9338662329919707,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,4.574260521223543,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,286.18,13.781990394298706,8.500070972145723,8.536510655476489
1994-04-01,121.7,5218.1,5792.62,-574.52,2308.34,670.02,487.4,272.68,84.94,20149.7,12.4,2539.5,4.5,10546.1,16.6,7064.2,9.6,21844.2,8875.3,12968.9,7398.0,74.7,3028.4,85.1,22.95123756460879,3.133371859436512,37.12791399738855,46923.5,34.5,15944.48,14.28,5813.99,23.58,12596.6,34.75,22514.6,41.33,1787.6,58.33,19970.2,39.42,756.8,58.39,1.4245257927156036,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.8984626408807914,1.6082382468875593,4.406649407696633,3.9324747810680596,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,4.502298581873483,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,301.42,13.340642433709517,8.497100345769235,8.540607723608378
1994-05-01,121.3,5218.1,5792.62,-574.52,2308.34,670.02,487.4,272.68,84.94,20149.7,12.4,2539.5,4.5,10546.1,16.6,7064.2,9.6,21844.2,8875.3,12968.9,7398.0,74.7,3028.4,85.1,22.56171083802463,3.116254258773351,36.503810724828455,46923.5,34.5,16314.43,15.17,5729.0,20.72,12596.6,34.75,22514.6,41.33,1787.6,58.33,19970.2,39.42,756.8,58.39,1.4246003282105801,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.8611057725309663,1.6083354910104717,4.405255393465837,3.9310649786123486,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,4.487544018734807,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,305.5,13.314541884115936,8.498146457245678,8.540112962712556
1994-06-01,122.6,5218.1,5792.62,-574.52,2308.34,670.02,487.4,272.68,84.94,20149.7,12.4,2539.5,4.5,10546.1,16.6,7064.2,9.6,21844.2,8875.3,12968.9,7398.0,74.7,3028.4,85.1,22.972457608479083,3.134296003075239,37.742915198303585,46923.5,34.5,16543.0,18.03,5781.0,18.86,12596.6,34.75,22514.6,41.33,1787.6,58.33,19970.2,39.42,756.8,58.39,1.424218724232572,10.98,6.66,12.24,11.7,13.86,9.0,3.15,1.8582851897959622,1.6079224579900013,4.406409661940376,3.9321754379650513,11.02,12.47,12.64,8.1,9.88,12.24,13.86,14.04,2.88,7.92,6.48,6.48,6.48,4.490915282573135,11.25,9.0,10.98,12.0,13.0,1.0,1267.0,318.63,13.39971001132833,8.474702479311505,8.51873006727604
