金融信息_央行黄金和外汇储备_央行黄金和外汇储备(1978.12-2017.5)_宏观数据_新浪财经

统计时间, 黄金储备(万盎司), 国家外汇储备(亿美元), 
2000.5, 1267.00, 1580.19, 
2000.4, 1267.00, 1568.46, 
2000.3, 1267.00, 1568.20, 
2000.2, 1267.00, 1565.59, 
2000.1, 1267.00, 1561.00, 
1999.12, 1267.00, 1546.75, 
1999.11, 1267.00, 1537.70, 
1999.10, 1267.00, 1528.47, 
1999.9, 1267.00, 1515.11, 
1999.8, 1267.00, 1507.30, 
1999.7, 1267.00, 1487.37, 
1999.6, 1267.00, 1470.51, 
1999.5, 1267.00, 1467.45, 
1999.4, 1267.00, 1466.65, 
1999.3, 1267.00, 1466.25, 
1999.2, 1267.00, 1465.15, 
1999.1, 1267.00, 1450.90, 
1998.12, 1267.00, 1449.59, 
1998.11, 1267.00, 1445.88, 
1998.10, 1267.00, 1437.00, 
1998.9, 1267.00, 1411.07, 
1998.8, 1267.00, 1407.38, 
1998.7, 1267.00, 1405.99, 
1998.6, 1267.00, 1405.10, 
1998.5, 1267.00, 1409.05, 
1998.4, 1267.00, 1405.67, 
1998.3, 1267.00, 1406.17, 
1998.2, 1267.00, 1403.33, 
1998.1, 1267.00, 1404.86, 
1997.12, 1267.00, 1398.90, 
1997.11, 1267.00, 1388.73, 
1997.10, 1267.00, 1378.97, 
1997.9, 1267.00, 1340.74, 
1997.8, 1267.00, 1303.40, 
1997.7, 1267.00, 1259.46, 
1997.6, 1267.00, 1209.41, 
1997.5, 1267.00, 1175.75, 
1997.4, 1267.00, 1144.08, 
1997.3, 1267.00, 1120.55, 
1997.2, 1267.00, 1103.15, 
1997.1, 1267.00, 1086.79, 
1996.12, 1267.00, 1050.49, 
1996.11, 1267.00, 1023.06, 
1996.10, 1267.00, 988.50, 
1996.9, 1267.00, 953.63, 
1996.8, 1267.00, 931.93, 
1996.7, 1267.00, 896.93, 
1996.6, 1267.00, 866.16, 
1996.5, 1267.00, 850.02, 
1996.4, 1267.00, 818.24, 
1996.3, 1267.00, 808.29, 
1996.2, 1267.00, 797.67, 
1996.1, 1267.00, 761.07, 
1995.12, 1267.00, 735.97, 
1995.11, 1267.00, 744.96, 
1995.10, 1267.00, 729.98, 
1995.9, 1267.00, 698.00, 
1995.8, 1267.00, 675.19, 
1995.7, 1267.00, 655.94, 
1995.6, 1267.00, 626.59, 
1995.5, 1267.00, 606.29, 
