景气指数_非制造业PMI_中国非制造业采购经理指数(PMI)(2008.1-2017.5)_宏观数据_新浪财经

统计月份, PMI, 商务活动指数, 新订单指数, 新出口订单指数, 积压订单指数, 存货指数, 中间投入价格指数, 收费价格指数, 从业人员指数, 供应商配送时间指数, 业务活动预期指数, 
2009.9, 58.90, 58.90, 55.20, 47.50, , , 56.60, 51.60, , , 64.70, 
2009.8, 59.90, 59.90, 55.80, 51.90, , , 55.70, 51.40, , , 68.80, 
2009.7, 58.90, 58.90, 55.20, 50.10, , , , 52.00, , , 67.10, 
2009.6, 55.40, 55.40, 51.20, 46.90, , , 58.00, 50.80, , , 65.30, 
2009.5, 60.90, 60.90, 56.90, 47.30, , , 55.50, , , , 64.80, 
2009.4, 59.00, 59.00, 54.60, 48.10, , , 54.50, , , , 66.20, 
2009.3, 55.70, 55.70, 52.70, 43.60, , , 49.70, , , , 62.70, 
2009.2, 41.90, 41.90, 42.40, 39.60, , , 48.80, , , , 58.60, 
2009.1, 51.00, 51.00, 47.70, 43.00, , , 51.50, , , , 54.90, 
2008.12, 48.90, 48.90, 44.00, 38.40, , , 46.90, , , , 53.20, 
2008.11, 45.40, 45.40, 41.10, 38.70, , , 47.80, , , , 54.50, 
2008.10, 56.70, 56.70, 52.40, 49.20, , , 52.40, , , , 59.60, 
2008.9, 58.10, 58.10, 53.80, 47.60, , , 57.00, , , , 64.40, 
2008.8, 53.80, 53.80, 51.40, 47.40, , , 61.00, , , , 65.90, 
2008.7, 58.10, 58.10, 54.10, 51.00, , , 67.50, , , , 66.70, 
2008.6, 56.90, 56.90, 51.00, 48.40, , , 70.40, 53.60, , , 68.10, 
2008.5, 60.50, 60.50, 56.00, 51.80, 45.90, 49.90, 66.50, 53.30, 54.40, 48.40, 68.90, 
2008.4, 62.90, 62.90, 57.90, 56.30, 45.30, 48.80, 66.30, 53.50, 54.90, 47.50, 71.50, 
2008.3, 60.30, 60.30, 56.90, 54.80, 46.50, 47.30, 66.50, 52.30, 54.20, 46.50, 72.40, 
2008.2, 46.90, 46.90, 46.40, 47.40, 42.00, 45.70, 65.40, 53.70, 48.60, 51.70, 71.80, 
2008.1, 57.10, 57.10, 54.40, 53.20, 42.30, 49.50, 65.60, 53.50, 50.20, 48.00, 71.40, 
