景气指数_制造业PMI_中国制造业采购经理指数(PMI)(2005.1-2017.5)_宏观数据_新浪财经

统计月份, PMI, 生产指数, 新订单指数, 新出口订单指数, 积压订单指数, 产成品库存指数, 采购量指数, 进口指数, 购进价格指数, 原材料库存指数, 从业人员指数, 供应商配送时间指数, 
2006.2, 52.10, 53.20, 55.70, 53.80, 48.70, 45.90, 54.80, 50.80, 55.40, 45.70, 50.30, 50.20, 
2006.1, 52.10, 53.90, 55.70, 50.40, 46.00, 44.60, 55.30, 49.70, 54.00, 47.40, 48.80, 50.60, 
2005.12, 54.30, 58.70, 58.90, 56.40, 48.80, 44.70, 57.00, 50.90, 49.50, 48.10, 50.40, 52.80, 
2005.11, 54.10, 58.80, 58.00, 57.60, 48.10, 44.80, 55.60, 51.70, 47.90, 46.40, 50.90, 52.40, 
2005.10, 54.10, 59.70, 58.10, 55.10, 48.40, 46.20, 58.40, 52.00, 50.80, 45.50, 50.10, 52.00, 
2005.9, 55.10, 61.10, 58.40, 57.20, 49.40, 45.80, 58.10, 54.30, 52.80, 48.00, 51.30, 51.50, 
2005.8, 52.60, 55.80, 55.00, 52.90, 47.70, 44.20, 53.30, 49.10, 53.70, 44.30, 51.80, 51.10, 
2005.7, 51.10, 53.30, 53.20, 52.80, 46.40, 46.60, 51.30, 50.90, 50.60, 43.70, 50.80, 51.70, 
2005.6, 51.70, 55.70, 53.40, 56.10, 48.40, 48.10, 53.20, 49.80, 49.80, 44.20, 49.90, 50.70, 
2005.5, 52.90, 57.00, 55.60, 58.20, 47.90, 45.80, 54.10, 49.40, 53.50, 45.20, 50.00, 50.50, 
2005.4, 56.70, 62.70, 61.30, 60.30, 50.90, 46.50, 61.00, 54.20, 65.20, 48.40, 51.80, 50.40, 
2005.3, 57.90, 65.20, 63.50, 63.90, 50.60, 46.90, 62.80, 56.90, 71.50, 47.70, 51.70, 50.20, 
2005.2, 54.50, 55.60, 61.50, 59.90, 49.80, 47.40, 60.00, 55.20, 64.80, 47.80, 49.70, 50.60, 
2005.1, 54.70, 57.60, 60.70, 58.30, 46.60, 46.60, 59.00, 54.30, 63.70, 50.10, 48.50, 50.70, 
